name,geom,key,value
Bourbon Shopping São Paulo,"POLYGON ((-46.6819711 -23.5264423, -46.6807257 -23.5273873, -46.6806611 -23.5274113, -46.680583 -23.5274082, -46.6805224 -23.5273756, -46.6804859 -23.5273233, -46.6804722 -23.5272221, -46.6802437 -23.5272481, -46.6801995 -23.5269219, -46.6801127 -23.5269318, -46.6800215 -23.5262575, -46.6800649 -23.5262526, -46.6800158 -23.5258889, -46.6807065 -23.5258107, -46.6807001 -23.5257631, -46.6809231 -23.5257378, -46.6809306 -23.525793, -46.681103 -23.5257735, -46.6810998 -23.5257496, -46.6812073 -23.5257375, -46.6812969 -23.5257646, -46.6813596 -23.5258213, -46.681371 -23.5258941, -46.6813489 -23.525897, -46.6813742 -23.5260577, -46.6814454 -23.5260482, -46.6814825 -23.5262832, -46.6815811 -23.5262701, -46.6817562 -23.5261713, -46.6818274 -23.5261716, -46.6818745 -23.5261964, -46.6819001 -23.5262287, -46.6819043 -23.5262683, -46.6819501 -23.5262779, -46.6819853 -23.5263048, -46.6820008 -23.5263497, -46.6819967 -23.5263972, -46.6819711 -23.5264423))",shop,mall
Espaço Buritis,"POLYGON ((-43.9652084 -19.9705765, -43.9654907 -19.9700592, -43.9652056 -19.9699444, -43.9648537 -19.9700583, -43.9648872 -19.9702052, -43.9652203 -19.970087, -43.9652708 -19.9701926, -43.9650955 -19.9704669, -43.9652084 -19.9705765))",shop,mall
Niterói Shopping,"POLYGON ((-43.1190746 -22.8944439, -43.119049 -22.8948075, -43.1190189 -22.8947608, -43.1189726 -22.8947272, -43.1189162 -22.8947113, -43.1188574 -22.8947153, -43.1188041 -22.8947385, -43.1187636 -22.8947779, -43.1187412 -22.8948282, -43.11874 -22.8948825, -43.1187602 -22.8949335, -43.1187991 -22.8949743, -43.1188513 -22.8949995, -43.1189099 -22.8950056, -43.1189669 -22.8949917, -43.1190147 -22.8949599, -43.1190467 -22.8949143, -43.1190586 -22.8948611, -43.1190694 -22.8951543, -43.1183789 -22.8952416, -43.1181218 -22.8953944, -43.1178855 -22.8950382, -43.1178221 -22.8949428, -43.1183351 -22.8950571, -43.1184005 -22.8949423, -43.1184353 -22.8946974, -43.1184924 -22.894686, -43.1185239 -22.8946466, -43.1185931 -22.8946373, -43.1187027 -22.8946338, -43.1187486 -22.8944097, -43.1190746 -22.8944439))",shop,mall
Big Shopping,"POLYGON ((-44.0397477 -19.9431221, -44.0402893 -19.9431191, -44.0402902 -19.9431634, -44.040295 -19.9440318, -44.040679 -19.9440304, -44.0406832 -19.9448251, -44.0397584 -19.9448275, -44.0397477 -19.9431221))",shop,mall
RioSul,"POLYGON ((-43.1771302 -22.9562745, -43.1772366 -22.9562255, -43.177201 -22.9565825, -43.1772262 -22.9565932, -43.1772088 -22.9567072, -43.1772068 -22.9567535, -43.1769658 -22.9578687, -43.1762283 -22.9580621, -43.1757134 -22.9577223, -43.1753484 -22.9571899, -43.1758157 -22.9569241, -43.1759254 -22.9570691, -43.1771302 -22.9562745))",shop,mall
Itaipu Multicenter,"POLYGON ((-43.0561282 -22.9416026, -43.0564114 -22.9413339, -43.0562483 -22.9411679, -43.0562226 -22.9406699, -43.056729 -22.940172, -43.055905 -22.939508, -43.0556475 -22.9397846, -43.0558449 -22.9399902, -43.0557076 -22.9401245, -43.0557076 -22.9401957, -43.0558707 -22.9403854, -43.0558192 -22.9404328, -43.0558278 -22.940828, -43.0559479 -22.9408596, -43.0559565 -22.9410888, -43.0557677 -22.9412785, -43.0557763 -22.9413734, -43.0561282 -22.9416026))",shop,mall
Galeria São Luiz,"POLYGON ((-43.1769041 -22.9305736, -43.1768783 -22.9306998, -43.1768356 -22.9309088, -43.1774758 -22.9310198, -43.1775191 -22.9308079, -43.1775443 -22.9306846, -43.1769041 -22.9305736))",shop,mall
Shopping Nova América,"POLYGON ((-43.2736808 -22.8779428, -43.2715402 -22.879076, -43.2708384 -22.8794249, -43.2705737 -22.8789708, -43.2702132 -22.8783461, -43.2714664 -22.8777213, -43.2715179 -22.8775869, -43.2716127 -22.8775322, -43.2718183 -22.8774446, -43.2721187 -22.8774841, -43.2725518 -22.8772889, -43.2726493 -22.8772449, -43.2728912 -22.8776423, -43.2731658 -22.8777609, -43.273492 -22.8775948, -43.2736808 -22.8779428))",shop,mall
Central Plaza Shopping,"POLYGON ((-46.5837352 -23.5953731, -46.5837865 -23.5954098, -46.5839395 -23.5955195, -46.5844209 -23.5958644, -46.5846128 -23.5956379, -46.5847374 -23.5957236, -46.5859393 -23.5943005, -46.5859879 -23.5942428, -46.585989 -23.5942398, -46.5863724 -23.5937859, -46.5864353 -23.593831, -46.5864823 -23.5937718, -46.5864215 -23.5937277, -46.5868039 -23.593272, -46.5868673 -23.5933169, -46.586916 -23.5932602, -46.5868527 -23.5932159, -46.587237 -23.5927586, -46.5873005 -23.5928021, -46.5873483 -23.5927455, -46.5872851 -23.5927021, -46.5876212 -23.5923034, -46.587684 -23.5923474, -46.5877314 -23.5922877, -46.5876074 -23.5921975, -46.5878486 -23.591911, -46.5877897 -23.5918703, -46.5878399 -23.5918129, -46.5875924 -23.5916365, -46.5876497 -23.59157, -46.5874605 -23.5914342, -46.5874039 -23.5915004, -46.5873264 -23.5914441, -46.586458 -23.5924759, -46.5864421 -23.5924649, -46.5862976 -23.5926342, -46.5862673 -23.5926132, -46.5860761 -23.5928419, -46.5860137 -23.5927976, -46.5858226 -23.5930249, -46.5857598 -23.5929816, -46.5854228 -23.5933804, -46.5854545 -23.5934022, -46.585431 -23.5934301, -46.5853883 -23.5934347, -46.5853636 -23.5932401, -46.5851105 -23.5932674, -46.5851362 -23.5934619, -46.5848277 -23.5934981, -46.5845843 -23.5937872, -46.584523 -23.5937434, -46.5841049 -23.5942398, -46.5837865 -23.5946179, -46.5833705 -23.5951118, -46.5837352 -23.5953731))",shop,mall
Galeria Condor,"POLYGON ((-43.1789754 -22.9313737, -43.1786287 -22.9312651, -43.1782696 -22.9322673, -43.1785846 -22.9323784, -43.1789754 -22.9313737))",shop,mall
