name,geom,key,value
Ginásio Estadual Geraldo José de Almeida,"POLYGON ((-46.6560838 -23.5774527, -46.6560235 -23.5774612, -46.6559647 -23.5774759, -46.6559081 -23.5774966, -46.6558544 -23.5775231, -46.6558044 -23.5775551, -46.6557587 -23.5775921, -46.6557179 -23.5776336, -46.6556825 -23.5776791, -46.655653 -23.577728, -46.6556298 -23.5777797, -46.6556131 -23.5778334, -46.6556033 -23.5778886, -46.6556004 -23.5779444, -46.6556044 -23.5780001, -46.6556154 -23.5780551, -46.6556331 -23.5781086, -46.6556573 -23.5781598, -46.6556878 -23.5782082, -46.6557241 -23.5782531, -46.6557657 -23.578294, -46.6558121 -23.5783302, -46.6558628 -23.5783613, -46.655917 -23.5783869, -46.655974 -23.5784067, -46.6560331 -23.5784204, -46.6560935 -23.5784279, -46.6561545 -23.5784289, -46.6562152 -23.5784237, -46.6562748 -23.5784121, -46.6563326 -23.5783943, -46.6563878 -23.5783706, -46.6564397 -23.5783413, -46.6564877 -23.5783068, -46.656531 -23.5782675, -46.6565692 -23.5782239, -46.6566017 -23.5781766, -46.6566281 -23.5781263, -46.656648 -23.5780735, -46.6566613 -23.5780189, -46.6566677 -23.5779634, -46.6566671 -23.5779075, -46.6566596 -23.577852, -46.6566453 -23.5777977, -46.6566243 -23.5777453, -46.6565969 -23.5776954, -46.6565634 -23.5776486, -46.6565244 -23.5776057, -46.6564803 -23.5775671, -46.6564317 -23.5775334, -46.6563792 -23.577505, -46.6563235 -23.5774822, -46.6562653 -23.5774655, -46.6562055 -23.5774549, -46.6561447 -23.5774506, -46.6560838 -23.5774527))",leisure,stadium
Estádio Olímpico Monumental,"POLYGON ((-51.2122378 -30.060081, -51.2123097 -30.0603996, -51.2126015 -30.0609547, -51.2129142 -30.0613399, -51.213334 -30.0614907, -51.2137507 -30.0614674, -51.2141356 -30.0612912, -51.214402 -30.0610171, -51.2144844 -30.0606729, -51.2143281 -30.0602334, -51.2140305 -30.0597195, -51.213798 -30.0594772, -51.2134924 -30.0593444, -51.213237 -30.0593162, -51.2129739 -30.0593436, -51.2125649 -30.0595075, -51.2123213 -30.0597815, -51.2122378 -30.060081))",leisure,stadium
Estádio Rei Pelé,"POLYGON ((-35.7609938 -9.6701158, -35.7589211 -9.669542699999999, -35.7583214 -9.671698900000001, -35.7603642 -9.672318799999999, -35.7609938 -9.6701158))",leisure,stadium
ARCA,"POLYGON ((-51.4517058 -29.6684096, -51.4511966 -29.6681565, -51.4506556 -29.6689784, -51.4511648 -29.6692315, -51.4517058 -29.6684096))",leisure,stadium
Ginásio da UFRN,"POLYGON ((-35.2023156 -5.8350216, -35.2019656 -5.8351174, -35.2019642 -5.8354005, -35.2023078 -5.8354822, -35.2026331 -5.8354098, -35.2026361 -5.8351143, -35.2023156 -5.8350216))",leisure,stadium
Estádio Ismael Benigno,"POLYGON ((-60.0382099 -3.1222594, -60.0382812 -3.1222063, -60.0383148 -3.1220197, -60.0383045 -3.1218425, -60.0381722 -3.1211881, -60.0381077 -3.1208474, -60.0380202 -3.1208233, -60.0370738 -3.1210367, -60.0373708 -3.1224413, -60.0382099 -3.1222594))",leisure,stadium
Estádio Municipal Alziro de Almeida,"POLYGON ((-42.8601417 -22.7435385, -42.8592318 -22.743036, -42.8588379 -22.7436409, -42.8597425 -22.7441429, -42.8600254 -22.7437296, -42.8601417 -22.7435385))",leisure,stadium
Estádio Governador Alberto Tavares Silva - Albertão,"POLYGON ((-42.7937571 -5.1167557, -42.7938255 -5.116646, -42.7938803 -5.1165289, -42.7939207 -5.1164062, -42.7939461 -5.1162795, -42.7939562 -5.1161507, -42.7939507 -5.1160217, -42.7939298 -5.1158942, -42.7938937 -5.1157701, -42.7938431 -5.1156512, -42.7937785 -5.1155392, -42.793701 -5.1154356, -42.7936116 -5.115342, -42.7935117 -5.1152597, -42.7934025 -5.1151899, -42.7932858 -5.1151335, -42.7931632 -5.1150914, -42.7930364 -5.1150642, -42.7929073 -5.1150523, -42.7927777 -5.1150558, -42.7926494 -5.1150747, -42.7925243 -5.1151088, -42.7924041 -5.1151574, -42.7922907 -5.11522, -42.7921856 -5.1152957, -42.7920902 -5.1153833, -42.7920016 -5.1154876, -42.7919269 -5.1156022, -42.7918673 -5.1157252, -42.7918239 -5.1158548, -42.7917971 -5.1159888, -42.7917876 -5.1161251, -42.7917954 -5.1162615, -42.7918205 -5.1163959, -42.7918624 -5.116526, -42.7919204 -5.1166498, -42.7919937 -5.1167653, -42.7920811 -5.1168707, -42.792181 -5.1169642, -42.7922921 -5.1170444, -42.7924124 -5.1171101, -42.7925401 -5.11716, -42.7926731 -5.1171935, -42.7928093 -5.11721, -42.7929465 -5.1172093, -42.7930824 -5.1171913, -42.7932151 -5.1171563, -42.7933422 -5.117105, -42.7934618 -5.1170381, -42.7935719 -5.1169567, -42.7936709 -5.116862, -42.7937571 -5.1167557))",leisure,stadium
Ginásio Poliesportivo Ronaldo Cunha Lima - O Ronaldão,"POLYGON ((-34.8712412 -7.1690444, -34.871288 -7.1691726, -34.8712904 -7.169309, -34.8712479 -7.1694387, -34.8711654 -7.1695477, -34.8710516 -7.1696243, -34.870919 -7.16966, -34.8707818 -7.1696511, -34.870655 -7.1695984, -34.8705523 -7.1695078, -34.8704848 -7.169389, -34.8704599 -7.1692548, -34.8704802 -7.16912, -34.8705436 -7.1689989, -34.8706431 -7.1689049, -34.870768 -7.168848, -34.8709048 -7.1688344, -34.8710386 -7.1688656, -34.8711549 -7.1689382, -34.8712412 -7.1690444))",leisure,stadium
Estádio do SESC,"POLYGON ((-60.043912 -3.0684629, -60.0438645 -3.0684241, -60.0438113 -3.0684023, -60.043739 -3.0683869, -60.0436617 -3.0683846, -60.043638 -3.0683904, -60.0435902 -3.0684021, -60.0434686 -3.0684598, -60.043405 -3.068517, -60.0433641 -3.0685911, -60.0433379 -3.0686852, -60.0433456 -3.0687737, -60.0438482 -3.0696655, -60.0439071 -3.0697568, -60.0439886 -3.0698198, -60.0441204 -3.0698666, -60.0442423 -3.0698627, -60.0443642 -3.0698192, -60.0444478 -3.0697523, -60.0445031 -3.0696457, -60.0445414 -3.0695449, -60.0445287 -3.069444, -60.043912 -3.0684629))",leisure,stadium
