name,geom,key,value
Fazenda Paiquerê,POINT (-50.5141678 -19.8880558),aeroway,aerodrome
Aeródromo Rancho Enagri,POINT (-53.57 -16.95611),aeroway,aerodrome
Edra do Brasil,POINT (-47.7016678 -22.4402771),aeroway,aerodrome
Rancho Villela,POINT (-48.8633347 -23.5702782),aeroway,aerodrome
Fazenda Nova Califórnia,POINT (-51.2008018 -22.4666996),aeroway,aerodrome
Fazenda Guará do Pinhal,POINT (-48.0725945 -23.6658616),aeroway,aerodrome
Fazenda Entre Rios,POINT (-50.856945 -20.7649994),aeroway,aerodrome
Fazenda Bonança,POINT (-51.0300778 -20.6759831),aeroway,aerodrome
Fazenda Brumado,POINT (-48.5671997 -20.4230995),aeroway,aerodrome
Fazenda Constância,POINT (-49.186466 -20.4931987),aeroway,aerodrome
Aeródromo Fazenda Santo Antônio,POINT (-56.7024994 -22.0680561),aeroway,aerodrome
Fazenda Fittipaldi Citrus,POINT (-48.2952557 -21.8544797),aeroway,aerodrome
Fazenda Figueira,POINT (-52.1518388 -22.0676905),aeroway,aerodrome
Fazenda Santa Maria,POINT (-52.2561009 -22.289693),aeroway,aerodrome
Fazenda São Francisco,POINT (-49.5457764 -23.4746068),aeroway,aerodrome
Virgulino de Oliveira,POINT (-46.8088875 -22.414444),aeroway,aerodrome
Fazenda Ponte Funda,POINT (-52.1630554 -21.8705559),aeroway,aerodrome
Aeródromo de Casa Nova,POINT (-40.9377188 -9.157964),aeroway,aerodrome
Fazenda Ipameri,POINT (-50.8088875 -21.6313896),aeroway,aerodrome
Usina Colorado,POINT (-48.1819458 -20.2769432),aeroway,aerodrome
Garça,POINT (-49.6556924 -22.1834415),aeroway,aerodrome
Fazenda Fartura,POINT (-49.9469452 -22.3672218),aeroway,aerodrome
Fazenda Suíssa,POINT (-49.8574982 -21.9122219),aeroway,aerodrome
Fazenda Gurucaia,POINT (-50.7360944 -21.4950351),aeroway,aerodrome
Hotel Fazenda Capricho,POINT (-48.7961121 -23.2244434),aeroway,aerodrome
Fazenda Alvorada,POINT (-50.0458336 -22.5249996),aeroway,aerodrome
Fazenda Anhangaí,POINT (-50.7433319 -20.9274998),aeroway,aerodrome
Fazenda Koga,POINT (-49.980278 -21.8719444),aeroway,aerodrome
Fazenda Herdade,POINT (-46.8436127 -22.4925003),aeroway,aerodrome
Irmãos Ribeiro,POINT (-46.7752991 -22.1581001),aeroway,aerodrome
Itanhaém,POINT (-46.7855568 -24.1647224),aeroway,aerodrome
Fazenda Centro de Vôo a Vela Ipuã,POINT (-45.7717568 -23.0415176),aeroway,aerodrome
Itu,POINT (-47.3277779 -23.3497219),aeroway,aerodrome
Aeroporto de Ituverava,POINT (-47.7724815 -20.3698744),aeroway,aerodrome
Fazenda São Paulo,POINT (-49.9347229 -20.1555557),aeroway,aerodrome
Doutor José Augusto de Arruda Botelho,POINT (-47.8599717 -22.192088),aeroway,aerodrome
Aeroclube de Jaboticabal,POINT (-48.2852386 -21.2307994),aeroway,aerodrome
Fazenda Ponte Preta,POINT (-49.4787989 -22.7300419),aeroway,aerodrome
Aeroporto de Jales,POINT (-50.5453411 -20.2897085),aeroway,aerodrome
Fazenda São Luiz,POINT (-47.7505569 -21.1005554),aeroway,aerodrome
Fazenda São Joaquim O.B.,POINT (-51.0078938 -20.8291664),aeroway,aerodrome
