data,semana,tweets na semana,casos de covid na semana,cidade
22-06,26,0.21428571428571427,0.967128027681661,Natal
29-06,27,0.5714285714285714,1.0,Natal
06-07,28,1.0,0.9590542099192618,Natal
13-07,29,0.03571428571428571,0.6055363321799307,Natal
20-07,30,0.39285714285714285,0.9925028835063437,Natal
10-08,31,0.21428571428571427,0.5369088811995386,Natal
18-08,32,0.0,0.3477508650519031,Natal
24-08,33,0.42857142857142855,0.2174163783160323,Natal
01-09,34,0.25,0.2497116493656286,Natal
07-09,35,0.14285714285714285,0.23760092272202998,Natal
15-09,36,0.14285714285714285,0.11303344867358708,Natal
21-09,37,0.0,0.20818915801614762,Natal
22-06,26,0.2727272727272727,0.47866419294990725,São Bernardo do Campo
29-06,27,0.6363636363636364,0.4483611626468769,São Bernardo do Campo
06-07,28,0.45454545454545453,0.18583797155225726,São Bernardo do Campo
13-07,29,1.0,1.0,São Bernardo do Campo
20-07,30,0.18181818181818182,0.7189239332096475,São Bernardo do Campo
10-08,31,0.2727272727272727,0.4486703772418058,São Bernardo do Campo
18-08,32,0.09090909090909091,0.39919604205318493,São Bernardo do Campo
24-08,33,0.0,0.3132343846629561,São Bernardo do Campo
01-09,34,0.09090909090909091,0.3200371057513915,São Bernardo do Campo
07-09,35,0.18181818181818182,0.36147186147186144,São Bernardo do Campo
15-09,36,0.36363636363636365,0.14935064935064934,São Bernardo do Campo
21-09,37,0.2727272727272727,0.17439703153988867,São Bernardo do Campo
22-06,26,1.0,0.725,Pinhais
29-06,27,1.0,1.0,Pinhais
06-07,28,0.0,0.8142857142857143,Pinhais
13-07,29,0.0,0.775,Pinhais
20-07,30,0.0,0.7607142857142857,Pinhais
10-08,31,0.0,0.7678571428571429,Pinhais
18-08,32,0.0,0.8142857142857143,Pinhais
24-08,33,0.0,0.6821428571428572,Pinhais
01-09,34,0.0,0.6785714285714286,Pinhais
07-09,35,0.0,0.6071428571428571,Pinhais
15-09,36,0.0,0.5607142857142857,Pinhais
21-09,37,0.0,0.6035714285714285,Pinhais
22-06,26,0.3333333333333333,0.6064864864864865,Osasco
29-06,27,0.3333333333333333,0.7297297297297297,Osasco
06-07,28,1.0,1.0,Osasco
13-07,29,0.3333333333333333,0.9048648648648648,Osasco
20-07,30,0.3333333333333333,0.9232432432432433,Osasco
10-08,31,0.0,0.825945945945946,Osasco
18-08,32,0.3333333333333333,0.8389189189189189,Osasco
24-08,33,0.0,0.41945945945945945,Osasco
01-09,34,0.6666666666666666,0.3881081081081081,Osasco
07-09,35,0.0,0.33405405405405403,Osasco
15-09,36,0.0,0.34378378378378377,Osasco
21-09,37,0.0,0.41621621621621624,Osasco
22-06,26,1.0,0.8896848137535817,Lauro de Freitas
29-06,27,0.3333333333333333,1.0,Lauro de Freitas
06-07,28,0.3333333333333333,0.38968481375358166,Lauro de Freitas
13-07,29,0.0,0.5759312320916905,Lauro de Freitas
20-07,30,0.0,0.40114613180515757,Lauro de Freitas
10-08,31,0.0,0.5128939828080229,Lauro de Freitas
18-08,32,0.3333333333333333,0.6088825214899714,Lauro de Freitas
24-08,33,0.0,0.3438395415472779,Lauro de Freitas
01-09,34,0.0,0.4871060171919771,Lauro de Freitas
07-09,35,0.0,0.332378223495702,Lauro de Freitas
15-09,36,0.0,0.14326647564469913,Lauro de Freitas
21-09,37,0.3333333333333333,0.1504297994269341,Lauro de Freitas
22-06,26,1.0,1.0,Vitória
29-06,27,0.5714285714285714,0.9448818897637795,Vitória
06-07,28,0.8571428571428571,0.84251968503937,Vitória
13-07,29,0.5714285714285714,0.5174353205849269,Vitória
20-07,30,0.7142857142857143,0.9482564679415073,Vitória
10-08,31,0.0,0.8098987626546682,Vitória
18-08,32,0.14285714285714285,0.6287964004499438,Vitória
24-08,33,0.14285714285714285,0.5635545556805399,Vitória
01-09,34,0.14285714285714285,0.2879640044994376,Vitória
07-09,35,0.0,0.2778402699662542,Vitória
15-09,36,0.2857142857142857,0.28008998875140606,Vitória
21-09,37,0.0,0.3577052868391451,Vitória
22-06,26,0.5,0.0744818652849741,Hortolândia
29-06,27,0.5,0.16062176165803108,Hortolândia
06-07,28,0.0,0.09326424870466321,Hortolândia
13-07,29,1.0,0.35751295336787564,Hortolândia
20-07,30,1.0,1.0,Hortolândia
10-08,31,0.5,0.2623056994818653,Hortolândia
18-08,32,1.0,0.31541450777202074,Hortolândia
24-08,33,0.0,0.16904145077720206,Hortolândia
01-09,34,0.5,0.14637305699481865,Hortolândia
07-09,35,0.0,0.15220207253886012,Hortolândia
15-09,36,0.0,0.08484455958549222,Hortolândia
21-09,37,0.0,0.05893782383419689,Hortolândia
22-06,26,0.0,0.12915601023017903,Itajaí
29-06,27,0.0,0.15728900255754474,Itajaí
06-07,28,0.5,0.11061381074168798,Itajaí
13-07,29,1.0,0.3593350383631714,Itajaí
20-07,30,0.0,0.33248081841432225,Itajaí
10-08,31,0.0,0.07544757033248081,Itajaí
18-08,32,0.0,0.13491048593350383,Itajaí
24-08,33,0.0,0.18030690537084398,Itajaí
01-09,34,0.0,0.2078005115089514,Itajaí
07-09,35,0.5,1.0,Itajaí
15-09,36,0.0,0.15537084398976983,Itajaí
21-09,37,0.0,0.20332480818414322,Itajaí
22-06,26,0.0,0.4246153846153846,São Leopoldo
29-06,27,0.0,0.29846153846153844,São Leopoldo
06-07,28,0.3333333333333333,0.3,São Leopoldo
13-07,29,0.0,0.7707692307692308,São Leopoldo
20-07,30,0.0,0.8215384615384616,São Leopoldo
10-08,31,0.0,0.5138461538461538,São Leopoldo
18-08,32,1.0,1.0,São Leopoldo
24-08,33,0.0,0.8138461538461539,São Leopoldo
01-09,34,0.0,0.6984615384615385,São Leopoldo
07-09,35,0.0,0.6538461538461539,São Leopoldo
15-09,36,0.0,0.5323076923076923,São Leopoldo
21-09,37,0.0,0.4815384615384615,São Leopoldo
22-06,26,0.0,0.21033653846153846,Betim
29-06,27,0.0,0.5949519230769231,Betim
06-07,28,0.0,0.09375,Betim
13-07,29,0.0,0.7235576923076923,Betim
20-07,30,0.0,0.2776442307692308,Betim
10-08,31,0.0,0.609375,Betim
18-08,32,0.0,0.3701923076923077,Betim
24-08,33,1.0,1.0,Betim
01-09,34,0.0,0.23076923076923078,Betim
07-09,35,0.0,0.21875,Betim
15-09,36,0.0,0.5444711538461539,Betim
21-09,37,0.0,0.19110576923076922,Betim
22-06,26,0.0,0.14285714285714285,Duque de Caxias
29-06,27,0.0,0.10414394765539804,Duque de Caxias
06-07,28,0.0,0.08778625954198473,Duque de Caxias
13-07,29,1.0,1.0,Duque de Caxias
20-07,30,0.0,0.4765539803707743,Duque de Caxias
10-08,31,0.0,0.09214830970556162,Duque de Caxias
18-08,32,0.0,0.09541984732824428,Duque de Caxias
24-08,33,0.0,0.5092693565976009,Duque de Caxias
01-09,34,0.0,0.17938931297709923,Duque de Caxias
07-09,35,0.0,0.24318429661941113,Duque de Caxias
15-09,36,0.0,0.1390403489640131,Duque de Caxias
21-09,37,0.0,0.2099236641221374,Duque de Caxias
22-06,26,0.25,0.4676258992805755,Valinhos
29-06,27,0.0,0.5935251798561151,Valinhos
06-07,28,0.0,0.5107913669064749,Valinhos
13-07,29,0.25,1.0,Valinhos
20-07,30,0.25,0.9748201438848921,Valinhos
10-08,31,0.0,0.9028776978417267,Valinhos
18-08,32,0.0,0.9856115107913669,Valinhos
24-08,33,0.0,0.6546762589928058,Valinhos
01-09,34,0.0,0.420863309352518,Valinhos
07-09,35,0.0,0.37410071942446044,Valinhos
15-09,36,0.0,0.3597122302158273,Valinhos
21-09,37,0.0,0.4352517985611511,Valinhos
22-06,26,0.0,0.3645320197044335,Franco da Rocha
29-06,27,0.0,0.30049261083743845,Franco da Rocha
06-07,28,0.0,0.47783251231527096,Franco da Rocha
13-07,29,0.0,0.7241379310344828,Franco da Rocha
20-07,30,1.0,1.0,Franco da Rocha
10-08,31,0.0,0.8817733990147784,Franco da Rocha
18-08,32,0.0,0.6502463054187192,Franco da Rocha
24-08,33,0.0,0.5615763546798029,Franco da Rocha
01-09,34,0.0,0.4482758620689655,Franco da Rocha
07-09,35,0.0,0.645320197044335,Franco da Rocha
15-09,36,0.0,0.4482758620689655,Franco da Rocha
21-09,37,0.0,0.3694581280788177,Franco da Rocha
22-06,26,0.0,0.5514018691588785,Itapipoca
29-06,27,0.0,0.29906542056074764,Itapipoca
06-07,28,0.0,0.397196261682243,Itapipoca
13-07,29,1.0,1.0,Itapipoca
20-07,30,0.0,0.8364485981308412,Itapipoca
10-08,31,0.0,0.4158878504672897,Itapipoca
18-08,32,0.0,0.2383177570093458,Itapipoca
24-08,33,0.0,0.2757009345794392,Itapipoca
01-09,34,0.0,0.205607476635514,Itapipoca
07-09,35,0.0,0.3177570093457944,Itapipoca
15-09,36,0.0,0.06074766355140187,Itapipoca
21-09,37,0.0,0.09813084112149532,Itapipoca
22-06,26,0.6,0.8354978354978355,Patos de Minas
29-06,27,0.8,0.6017316017316018,Patos de Minas
06-07,28,0.6,0.683982683982684,Patos de Minas
13-07,29,1.0,1.0,Patos de Minas
20-07,30,0.4,0.37662337662337664,Patos de Minas
10-08,31,0.8,0.5627705627705628,Patos de Minas
18-08,32,0.0,0.23809523809523808,Patos de Minas
24-08,33,0.2,0.36796536796536794,Patos de Minas
01-09,34,0.4,0.4155844155844156,Patos de Minas
07-09,35,0.2,0.4329004329004329,Patos de Minas
15-09,36,0.0,0.30735930735930733,Patos de Minas
21-09,37,0.0,0.3203463203463203,Patos de Minas
22-06,26,0.0,0.2222222222222222,Santa Cruz do Sul
29-06,27,0.0,0.17037037037037037,Santa Cruz do Sul
06-07,28,0.0,0.26666666666666666,Santa Cruz do Sul
13-07,29,0.0,0.4444444444444444,Santa Cruz do Sul
20-07,30,0.0,0.6,Santa Cruz do Sul
10-08,31,0.0,0.4962962962962963,Santa Cruz do Sul
18-08,32,0.0,0.7481481481481481,Santa Cruz do Sul
24-08,33,0.0,0.7925925925925926,Santa Cruz do Sul
01-09,34,0.0,0.8,Santa Cruz do Sul
07-09,35,1.0,1.0,Santa Cruz do Sul
15-09,36,0.0,0.8074074074074075,Santa Cruz do Sul
21-09,37,0.0,0.7925925925925926,Santa Cruz do Sul
22-06,26,0.0,0.386046511627907,Birigui
29-06,27,0.0,0.4558139534883721,Birigui
06-07,28,0.0,0.49767441860465117,Birigui
13-07,29,0.0,0.9302325581395349,Birigui
20-07,30,1.0,1.0,Birigui
10-08,31,0.0,0.8930232558139535,Birigui
18-08,32,0.0,0.986046511627907,Birigui
24-08,33,0.0,0.5953488372093023,Birigui
01-09,34,0.0,0.4744186046511628,Birigui
07-09,35,0.0,0.24186046511627907,Birigui
15-09,36,0.0,0.4046511627906977,Birigui
21-09,37,0.0,0.30697674418604654,Birigui
22-06,26,0.0,0.5144927536231884,Jacareí
29-06,27,0.0,0.47101449275362317,Jacareí
06-07,28,0.0,0.4891304347826087,Jacareí
13-07,29,1.0,0.8188405797101449,Jacareí
20-07,30,0.0,1.0,Jacareí
10-08,31,1.0,0.8297101449275363,Jacareí
18-08,32,0.0,0.6811594202898551,Jacareí
24-08,33,0.0,0.644927536231884,Jacareí
01-09,34,0.0,0.5253623188405797,Jacareí
07-09,35,1.0,0.6702898550724637,Jacareí
15-09,36,0.0,0.3188405797101449,Jacareí
21-09,37,0.0,0.7572463768115942,Jacareí
22-06,26,0.0,0.0,Ituiutaba
29-06,27,0.0,0.05714285714285714,Ituiutaba
06-07,28,0.0,0.12678571428571428,Ituiutaba
13-07,29,0.0,0.1,Ituiutaba
20-07,30,0.0,0.0375,Ituiutaba
10-08,31,0.0,0.19285714285714287,Ituiutaba
18-08,32,0.0,0.4517857142857143,Ituiutaba
24-08,33,0.0,0.35535714285714287,Ituiutaba
01-09,34,0.0,0.55,Ituiutaba
07-09,35,1.0,1.0,Ituiutaba
15-09,36,0.5,0.8928571428571429,Ituiutaba
21-09,37,0.0,0.7285714285714285,Ituiutaba
