data,semana,tweets na semana,casos de covid na semana,cidade
29-06,26,0.75,0.7671333824613117,Feira de Santana
06-07,27,0.25,0.6131171702284451,Feira de Santana
13-07,28,0.5,0.5740604274134119,Feira de Santana
20-07,29,0.75,1.0,Feira de Santana
10-08,30,1.0,0.6853352984524687,Feira de Santana
18-08,31,1.0,0.6728076639646279,Feira de Santana
24-08,32,0.5,0.5070007369196757,Feira de Santana
01-09,33,0.25,0.3235077376565954,Feira de Santana
07-09,34,0.5,0.6624907885040531,Feira de Santana
15-09,35,0.0,0.4782608695652174,Feira de Santana
21-09,36,0.0,0.30655858511422257,Feira de Santana
29-06,26,0.6666666666666666,1.0,Fortaleza
06-07,27,0.6666666666666666,0.6292197011621472,Fortaleza
13-07,28,0.5,0.975650249031544,Fortaleza
20-07,29,0.3333333333333333,0.6707249584947427,Fortaleza
10-08,30,0.08333333333333333,0.5628112894299945,Fortaleza
18-08,31,1.0,0.8544548976203652,Fortaleza
24-08,32,0.25,0.557830658550083,Fortaleza
01-09,33,0.0,0.3536247924737133,Fortaleza
07-09,34,0.0,0.5655783065855008,Fortaleza
15-09,35,0.5833333333333334,0.40232429441062534,Fortaleza
21-09,36,0.08333333333333333,0.2014388489208633,Fortaleza
29-06,26,0.125,1.0,Santo André
06-07,27,0.625,0.7271241830065359,Santo André
13-07,28,0.0,0.4869281045751634,Santo André
20-07,29,1.0,0.9722222222222222,Santo André
10-08,30,1.0,0.8472222222222222,Santo André
18-08,31,0.0,0.7140522875816994,Santo André
24-08,32,0.0,0.7434640522875817,Santo André
01-09,33,0.125,0.6241830065359477,Santo André
07-09,34,0.0,0.6781045751633987,Santo André
15-09,35,0.0,0.4991830065359477,Santo André
21-09,36,0.5,0.4542483660130719,Santo André
29-06,26,0.0,0.09802283486494012,Aparecida de Goiânia
06-07,27,0.0,0.17905875800612642,Aparecida de Goiânia
13-07,28,0.0,0.016986911723753828,Aparecida de Goiânia
20-07,29,0.0,0.9512670565302144,Aparecida de Goiânia
10-08,30,1.0,0.6416040100250626,Aparecida de Goiânia
18-08,31,0.0,0.5605680868838764,Aparecida de Goiânia
24-08,32,0.0,0.4756335282651072,Aparecida de Goiânia
01-09,33,0.0,0.4903926482873851,Aparecida de Goiânia
07-09,34,0.0,0.30437204121414646,Aparecida de Goiânia
15-09,35,1.0,0.5190754664438875,Aparecida de Goiânia
21-09,36,1.0,1.0,Aparecida de Goiânia
