data,semana,tweets na semana,casos de covid na semana,cidade
13-07,26,0.2,0.8393501805054152,Maceió
20-07,27,0.55,1.0,Maceió
10-08,28,0.35,0.9687123947051745,Maceió
18-08,29,0.25,0.7924187725631769,Maceió
24-08,30,0.8,0.9205776173285198,Maceió
01-09,31,0.15,0.6004813477737665,Maceió
07-09,32,0.05,0.48495788206979545,Maceió
15-09,33,0.0,0.37845968712394706,Maceió
21-09,34,0.1,0.17148014440433212,Maceió
13-07,26,0.0,0.2530657748049052,Foz do Iguaçu
20-07,27,0.0,0.1505016722408027,Foz do Iguaçu
10-08,28,0.0,0.45819397993311034,Foz do Iguaçu
18-08,29,1.0,1.0,Foz do Iguaçu
24-08,30,0.0,0.3801560758082497,Foz do Iguaçu
01-09,31,0.0,0.38461538461538464,Foz do Iguaçu
07-09,32,0.0,0.3255295429208473,Foz do Iguaçu
15-09,33,0.0,0.2898550724637681,Foz do Iguaçu
21-09,34,0.0,0.6755852842809364,Foz do Iguaçu
13-07,26,0.0,0.2594458438287154,Ponta Grossa
20-07,27,0.0,0.2871536523929471,Ponta Grossa
10-08,28,0.0,0.3853904282115869,Ponta Grossa
18-08,29,0.0,0.3929471032745592,Ponta Grossa
24-08,30,0.0,0.47103274559193953,Ponta Grossa
01-09,31,0.5,0.8438287153652393,Ponta Grossa
07-09,32,0.5,0.9445843828715366,Ponta Grossa
15-09,33,0.5,0.6952141057934509,Ponta Grossa
21-09,34,0.0,0.4357682619647355,Ponta Grossa
13-07,26,1.0,1.0,Marabá
20-07,27,0.5,0.30451127819548873,Marabá
10-08,28,0.0,0.3308270676691729,Marabá
18-08,29,0.0,0.2593984962406015,Marabá
24-08,30,0.0,0.16040100250626566,Marabá
01-09,31,0.0,0.3233082706766917,Marabá
07-09,32,0.0,0.14912280701754385,Marabá
15-09,33,0.0,0.2819548872180451,Marabá
21-09,34,0.0,0.32706766917293234,Marabá
13-07,26,0.0,0.3288590604026846,Assis
20-07,27,0.0,0.4966442953020134,Assis
10-08,28,0.0,0.5436241610738255,Assis
18-08,29,0.5,1.0,Assis
24-08,30,0.0,0.40939597315436244,Assis
01-09,31,0.0,0.7181208053691275,Assis
07-09,32,0.0,0.6510067114093959,Assis
15-09,33,0.0,0.5100671140939598,Assis
21-09,34,0.0,0.4228187919463087,Assis
