data,semana,tweets na semana,casos de covid na semana,cidade
06-07,26,1.0,1.0,Rio Branco
13-07,27,0.5,0.8815384615384615,Rio Branco
20-07,28,0.0,0.5661538461538461,Rio Branco
10-08,29,0.0,0.5738461538461539,Rio Branco
18-08,30,0.0,0.42615384615384616,Rio Branco
24-08,31,0.0,0.7307692307692307,Rio Branco
01-09,32,0.0,0.19076923076923077,Rio Branco
07-09,33,0.0,0.2323076923076923,Rio Branco
15-09,34,0.0,0.23846153846153847,Rio Branco
21-09,35,0.0,0.22615384615384615,Rio Branco
06-07,26,0.0,0.3023255813953488,Poços de Caldas
13-07,27,0.0,0.09302325581395349,Poços de Caldas
20-07,28,0.0,0.08527131782945736,Poços de Caldas
10-08,29,0.0,0.17829457364341086,Poços de Caldas
18-08,30,0.0,0.007751937984496124,Poços de Caldas
24-08,31,0.0,0.12403100775193798,Poços de Caldas
01-09,32,0.0,0.3488372093023256,Poços de Caldas
07-09,33,0.0,0.3875968992248062,Poços de Caldas
15-09,34,1.0,1.0,Poços de Caldas
21-09,35,0.0,0.4806201550387597,Poços de Caldas
06-07,26,1.0,1.0,Mossoró
13-07,27,0.07692307692307693,0.7950089126559715,Mossoró
20-07,28,0.3076923076923077,0.6363636363636364,Mossoró
10-08,29,0.3076923076923077,0.7219251336898396,Mossoró
18-08,30,0.38461538461538464,0.7825311942959001,Mossoró
24-08,31,0.0,0.5864527629233511,Mossoró
01-09,32,0.0,0.2727272727272727,Mossoró
07-09,33,0.23076923076923078,0.33689839572192515,Mossoró
15-09,34,0.0,0.31194295900178254,Mossoró
21-09,35,0.0,0.2798573975044563,Mossoró
06-07,26,1.0,1.0,Parintins
13-07,27,0.0,0.23297491039426524,Parintins
20-07,28,0.0,0.7025089605734767,Parintins
10-08,29,0.0,0.5483870967741935,Parintins
18-08,30,0.0,0.5483870967741935,Parintins
24-08,31,0.0,0.4050179211469534,Parintins
01-09,32,0.0,0.46236559139784944,Parintins
07-09,33,0.0,0.4946236559139785,Parintins
15-09,34,0.0,0.6057347670250897,Parintins
21-09,35,0.5,0.5125448028673835,Parintins
06-07,26,0.0,0.3059617547806524,Parauapebas
13-07,27,0.0,0.7429696287964005,Parauapebas
20-07,28,0.5,0.8098987626546682,Parauapebas
10-08,29,0.0,0.5703037120359955,Parauapebas
18-08,30,0.0,0.27727784026996627,Parauapebas
24-08,31,0.0,0.6304836895388076,Parauapebas
01-09,32,1.0,1.0,Parauapebas
07-09,33,0.0,0.6299212598425197,Parauapebas
15-09,34,0.0,0.21991001124859394,Parauapebas
21-09,35,0.0,0.41901012373453317,Parauapebas
06-07,26,0.0,0.41836734693877553,Itu
13-07,27,1.0,0.8027210884353742,Itu
20-07,28,0.0,0.45918367346938777,Itu
10-08,29,1.0,1.0,Itu
18-08,30,1.0,0.7755102040816326,Itu
24-08,31,0.0,0.7074829931972789,Itu
01-09,32,0.0,0.5068027210884354,Itu
07-09,33,0.0,0.564625850340136,Itu
15-09,34,0.0,0.6122448979591837,Itu
21-09,35,0.0,0.47619047619047616,Itu
06-07,26,0.0,0.38974358974358975,Lagarto
13-07,27,0.3333333333333333,0.6025641025641025,Lagarto
20-07,28,0.3333333333333333,0.3769230769230769,Lagarto
10-08,29,1.0,1.0,Lagarto
18-08,30,1.0,0.6641025641025641,Lagarto
24-08,31,0.6666666666666666,0.6512820512820513,Lagarto
01-09,32,0.5,0.5948717948717949,Lagarto
07-09,33,0.0,0.24358974358974358,Lagarto
15-09,34,0.3333333333333333,0.2,Lagarto
21-09,35,0.3333333333333333,0.19487179487179487,Lagarto
