data,semana,tweets na semana,casos de covid na semana,cidade
29-06,26,0.75,0.7671333824613117,Feira de Santana
06-07,27,0.25,0.6131171702284451,Feira de Santana
13-07,28,0.5,0.5740604274134119,Feira de Santana
20-07,29,0.75,1.0,Feira de Santana
10-08,30,1.0,0.6853352984524687,Feira de Santana
18-08,31,1.0,0.6728076639646279,Feira de Santana
24-08,32,0.5,0.5070007369196757,Feira de Santana
01-09,33,0.25,0.3235077376565954,Feira de Santana
07-09,34,0.5,0.6624907885040531,Feira de Santana
15-09,35,0.0,0.4782608695652174,Feira de Santana
21-09,36,0.0,0.30655858511422257,Feira de Santana
29-06,26,0.0,0.5423728813559322,Ribeirão Pires
06-07,27,0.0,0.6864406779661016,Ribeirão Pires
13-07,28,0.0,0.3898305084745763,Ribeirão Pires
20-07,29,1.0,1.0,Ribeirão Pires
10-08,30,0.0,0.4915254237288136,Ribeirão Pires
18-08,31,0.0,0.5932203389830508,Ribeirão Pires
24-08,32,0.0,0.3898305084745763,Ribeirão Pires
01-09,33,0.0,0.652542372881356,Ribeirão Pires
07-09,34,0.0,0.7542372881355932,Ribeirão Pires
15-09,35,0.0,0.6271186440677966,Ribeirão Pires
21-09,36,0.0,0.3474576271186441,Ribeirão Pires
29-06,26,0.0,0.4266666666666667,Paulista
06-07,27,1.0,0.6088888888888889,Paulista
13-07,28,1.0,0.6533333333333333,Paulista
20-07,29,1.0,0.7466666666666667,Paulista
10-08,30,1.0,0.8266666666666667,Paulista
18-08,31,0.0,0.6888888888888889,Paulista
24-08,32,0.0,0.5777777777777777,Paulista
01-09,33,0.0,0.4177777777777778,Paulista
07-09,34,0.0,0.5822222222222222,Paulista
15-09,35,1.0,1.0,Paulista
21-09,36,0.0,0.3422222222222222,Paulista
