data,semana,tweets na semana,casos de covid na semana,cidade
13-07,26,0.225,0.6791217972521352,São Paulo
20-07,27,0.2,0.5898161901225399,São Paulo
10-08,28,0.1,0.6052265131823246,São Paulo
18-08,29,0.125,0.6255105829929447,São Paulo
24-08,30,0.5,0.9487096175269216,São Paulo
01-09,31,0.05,0.6230040846639435,São Paulo
07-09,32,0.15,1.0,São Paulo
15-09,33,0.025,0.5249257333828444,São Paulo
21-09,34,0.0,0.47098960267359824,São Paulo
13-07,26,0.2,0.8393501805054152,Maceió
20-07,27,0.55,1.0,Maceió
10-08,28,0.35,0.9687123947051745,Maceió
18-08,29,0.25,0.7924187725631769,Maceió
24-08,30,0.8,0.9205776173285198,Maceió
01-09,31,0.15,0.6004813477737665,Maceió
07-09,32,0.05,0.48495788206979545,Maceió
15-09,33,0.0,0.37845968712394706,Maceió
21-09,34,0.1,0.17148014440433212,Maceió
13-07,26,0.0,0.2530657748049052,Foz do Iguaçu
20-07,27,0.0,0.1505016722408027,Foz do Iguaçu
10-08,28,0.0,0.45819397993311034,Foz do Iguaçu
18-08,29,1.0,1.0,Foz do Iguaçu
24-08,30,0.0,0.3801560758082497,Foz do Iguaçu
01-09,31,0.0,0.38461538461538464,Foz do Iguaçu
07-09,32,0.0,0.3255295429208473,Foz do Iguaçu
15-09,33,0.0,0.2898550724637681,Foz do Iguaçu
21-09,34,0.0,0.6755852842809364,Foz do Iguaçu
13-07,26,0.0,0.15446500402252614,Criciúma
20-07,27,0.0,0.250201126307321,Criciúma
10-08,28,0.0,0.2711182622687047,Criciúma
18-08,29,1.0,0.417538213998391,Criciúma
24-08,30,1.0,0.47385358004827033,Criciúma
01-09,31,1.0,0.41995172968624295,Criciúma
07-09,32,0.0,0.4778761061946903,Criciúma
15-09,33,0.0,0.3580048270313757,Criciúma
21-09,34,0.0,0.2823813354786806,Criciúma
13-07,26,0.0,0.2594458438287154,Ponta Grossa
20-07,27,0.0,0.2871536523929471,Ponta Grossa
10-08,28,0.0,0.3853904282115869,Ponta Grossa
18-08,29,0.0,0.3929471032745592,Ponta Grossa
24-08,30,0.0,0.47103274559193953,Ponta Grossa
01-09,31,0.5,0.8438287153652393,Ponta Grossa
07-09,32,0.5,0.9445843828715366,Ponta Grossa
15-09,33,0.5,0.6952141057934509,Ponta Grossa
21-09,34,0.0,0.4357682619647355,Ponta Grossa
13-07,26,0.0,0.3377250768555116,Blumenau
20-07,27,0.0,0.24593763724198506,Blumenau
10-08,28,0.0,0.19894598155467721,Blumenau
18-08,29,0.0,0.43741765480895917,Blumenau
24-08,30,1.0,0.4712340799297321,Blumenau
01-09,31,0.5,0.3456302151954326,Blumenau
07-09,32,0.0,0.4137022397891963,Blumenau
15-09,33,0.0,0.2450592885375494,Blumenau
21-09,34,0.0,0.3184014053579271,Blumenau
13-07,26,0.3333333333333333,0.7602739726027398,Olinda
20-07,27,1.0,1.0,Olinda
10-08,28,0.0,0.867579908675799,Olinda
18-08,29,0.6666666666666666,0.8949771689497716,Olinda
24-08,30,0.0,0.8538812785388128,Olinda
01-09,31,0.0,0.6301369863013698,Olinda
07-09,32,0.6666666666666666,0.6712328767123288,Olinda
15-09,33,0.0,0.678082191780822,Olinda
21-09,34,0.0,0.589041095890411,Olinda
13-07,26,1.0,1.0,Marabá
20-07,27,0.5,0.30451127819548873,Marabá
10-08,28,0.0,0.3308270676691729,Marabá
18-08,29,0.0,0.2593984962406015,Marabá
24-08,30,0.0,0.16040100250626566,Marabá
01-09,31,0.0,0.3233082706766917,Marabá
07-09,32,0.0,0.14912280701754385,Marabá
15-09,33,0.0,0.2819548872180451,Marabá
21-09,34,0.0,0.32706766917293234,Marabá
13-07,26,0.3333333333333333,0.06290322580645161,Pelotas
20-07,27,0.0,0.16774193548387098,Pelotas
10-08,28,0.0,0.1596774193548387,Pelotas
18-08,29,0.0,0.4435483870967742,Pelotas
24-08,30,0.0,0.27741935483870966,Pelotas
01-09,31,0.6666666666666666,0.5161290322580645,Pelotas
07-09,32,1.0,0.5161290322580645,Pelotas
15-09,33,0.6666666666666666,0.5048387096774194,Pelotas
21-09,34,0.0,0.22258064516129034,Pelotas
13-07,26,0.5,0.0851063829787234,Resende
20-07,27,0.0,0.07565011820330969,Resende
10-08,28,0.5,0.1867612293144208,Resende
18-08,29,1.0,1.0,Resende
24-08,30,0.5,0.3215130023640662,Resende
01-09,31,0.0,0.4515366430260047,Resende
07-09,32,0.0,0.42789598108747046,Resende
15-09,33,0.0,0.40189125295508277,Resende
21-09,34,0.0,0.2576832151300236,Resende
13-07,26,0.0,0.6383896477354422,Sorocaba
20-07,27,0.14285714285714285,0.8087706685837527,Sorocaba
10-08,28,0.14285714285714285,0.4802300503235083,Sorocaba
18-08,29,0.42857142857142855,1.0,Sorocaba
24-08,30,0.0,0.805176132278936,Sorocaba
01-09,31,0.14285714285714285,0.7692307692307693,Sorocaba
07-09,32,0.14285714285714285,0.6635514018691588,Sorocaba
15-09,33,0.0,0.49388928828181167,Sorocaba
21-09,34,0.0,0.38749101365923794,Sorocaba
13-07,26,0.0,0.3288590604026846,Assis
20-07,27,0.0,0.4966442953020134,Assis
10-08,28,0.0,0.5436241610738255,Assis
18-08,29,0.5,1.0,Assis
24-08,30,0.0,0.40939597315436244,Assis
01-09,31,0.0,0.7181208053691275,Assis
07-09,32,0.0,0.6510067114093959,Assis
15-09,33,0.0,0.5100671140939598,Assis
21-09,34,0.0,0.4228187919463087,Assis
13-07,26,0.0,0.6386292834890965,Colatina
20-07,27,0.0,0.8862928348909658,Colatina
10-08,28,0.0,0.6495327102803738,Colatina
18-08,29,0.0,0.4205607476635514,Colatina
24-08,30,0.0,0.5747663551401869,Colatina
01-09,31,1.0,0.8084112149532711,Colatina
07-09,32,0.5,1.0,Colatina
15-09,33,0.0,0.46105919003115264,Colatina
21-09,34,0.0,0.2757009345794392,Colatina
