data,semana,tweets na semana,casos de covid na semana,cidade
06-07,26,0.8484848484848485,0.6904231625835189,Recife
13-07,27,0.24242424242424243,0.8468819599109132,Recife
20-07,28,0.42424242424242425,0.7678173719376392,Recife
10-08,29,0.8181818181818182,1.0,Recife
18-08,30,0.7575757575757576,0.9548997772828508,Recife
24-08,31,0.3939393939393939,0.7232739420935412,Recife
01-09,32,1.0,0.8608017817371938,Recife
07-09,33,0.0,0.717706013363029,Recife
15-09,34,0.06060606060606061,0.6937639198218263,Recife
21-09,35,0.0,0.0,Recife
06-07,26,0.0,0.07076205287713841,Anápolis
13-07,27,0.0,0.1368584758942457,Anápolis
20-07,28,0.0,0.03965785381026438,Anápolis
10-08,29,0.0,0.322706065318818,Anápolis
18-08,30,1.0,0.2255054432348367,Anápolis
24-08,31,0.3333333333333333,0.3499222395023328,Anápolis
01-09,32,0.0,0.45178849144634525,Anápolis
07-09,33,0.0,0.5233281493001555,Anápolis
15-09,34,0.3333333333333333,0.4214618973561431,Anápolis
21-09,35,1.0,1.0,Anápolis
06-07,26,0.0,0.48249027237354086,Coronel Fabriciano
13-07,27,0.0,0.6653696498054474,Coronel Fabriciano
20-07,28,0.5,1.0,Coronel Fabriciano
10-08,29,0.0,0.7042801556420234,Coronel Fabriciano
18-08,30,0.0,0.4474708171206226,Coronel Fabriciano
24-08,31,1.0,0.7237354085603113,Coronel Fabriciano
01-09,32,0.5,0.603112840466926,Coronel Fabriciano
07-09,33,0.0,0.23735408560311283,Coronel Fabriciano
15-09,34,0.0,0.3735408560311284,Coronel Fabriciano
21-09,35,0.0,0.19844357976653695,Coronel Fabriciano
06-07,26,1.0,1.0,Rio Branco
13-07,27,0.5,0.8815384615384615,Rio Branco
20-07,28,0.0,0.5661538461538461,Rio Branco
10-08,29,0.0,0.5738461538461539,Rio Branco
18-08,30,0.0,0.42615384615384616,Rio Branco
24-08,31,0.0,0.7307692307692307,Rio Branco
01-09,32,0.0,0.19076923076923077,Rio Branco
07-09,33,0.0,0.2323076923076923,Rio Branco
15-09,34,0.0,0.23846153846153847,Rio Branco
21-09,35,0.0,0.22615384615384615,Rio Branco
06-07,26,0.0,0.10894941634241245,Jataí
13-07,27,0.0,0.13618677042801555,Jataí
20-07,28,0.0,0.1517509727626459,Jataí
10-08,29,0.0,0.4961089494163424,Jataí
18-08,30,0.0,0.4085603112840467,Jataí
24-08,31,1.0,0.6303501945525292,Jataí
01-09,32,1.0,1.0,Jataí
07-09,33,0.0,0.603112840466926,Jataí
15-09,34,0.0,0.6284046692607004,Jataí
21-09,35,0.0,0.377431906614786,Jataí
06-07,26,0.36363636363636365,0.9029424681598595,João Pessoa
13-07,27,0.22727272727272727,0.8041282389108476,João Pessoa
