data,semana,tweets na semana,casos de covid na semana,cidade
29-06,26,0.75,0.7671333824613117,Feira de Santana
06-07,27,0.25,0.6131171702284451,Feira de Santana
13-07,28,0.5,0.5740604274134119,Feira de Santana
20-07,29,0.75,1.0,Feira de Santana
10-08,30,1.0,0.6853352984524687,Feira de Santana
18-08,31,1.0,0.6728076639646279,Feira de Santana
24-08,32,0.5,0.5070007369196757,Feira de Santana
01-09,33,0.25,0.3235077376565954,Feira de Santana
07-09,34,0.5,0.6624907885040531,Feira de Santana
15-09,35,0.0,0.4782608695652174,Feira de Santana
21-09,36,0.0,0.30655858511422257,Feira de Santana
29-06,26,0.6666666666666666,1.0,Fortaleza
06-07,27,0.6666666666666666,0.6292197011621472,Fortaleza
13-07,28,0.5,0.975650249031544,Fortaleza
20-07,29,0.3333333333333333,0.6707249584947427,Fortaleza
10-08,30,0.08333333333333333,0.5628112894299945,Fortaleza
18-08,31,1.0,0.8544548976203652,Fortaleza
24-08,32,0.25,0.557830658550083,Fortaleza
01-09,33,0.0,0.3536247924737133,Fortaleza
07-09,34,0.0,0.5655783065855008,Fortaleza
15-09,35,0.5833333333333334,0.40232429441062534,Fortaleza
21-09,36,0.08333333333333333,0.2014388489208633,Fortaleza
29-06,26,0.8571428571428571,0.530848861283644,Belém
06-07,27,0.14285714285714285,0.4824016563146998,Belém
13-07,28,1.0,0.7084886128364389,Belém
20-07,29,0.2857142857142857,0.3821946169772257,Belém
10-08,30,0.14285714285714285,0.33457556935817806,Belém
18-08,31,0.8571428571428571,1.0,Belém
24-08,32,0.0,0.36231884057971014,Belém
01-09,33,0.0,0.3946169772256729,Belém
07-09,34,0.14285714285714285,0.5966873706004141,Belém
15-09,35,0.14285714285714285,0.6455486542443064,Belém
21-09,36,0.0,0.4153209109730849,Belém
29-06,26,0.0,0.5855421686746988,Suzano
06-07,27,0.0,0.5542168674698795,Suzano
13-07,28,0.0,0.41686746987951806,Suzano
20-07,29,0.0,0.8096385542168675,Suzano
10-08,30,0.0,0.7012048192771084,Suzano
18-08,31,1.0,1.0,Suzano
24-08,32,0.0,0.6144578313253012,Suzano
01-09,33,0.0,0.5445783132530121,Suzano
07-09,34,0.0,0.8168674698795181,Suzano
15-09,35,0.0,0.6216867469879518,Suzano
21-09,36,0.0,0.4530120481927711,Suzano
29-06,26,1.0,1.0,Boa Vista
06-07,27,0.0,0.6084057971014493,Boa Vista
13-07,28,0.25,0.6269565217391304,Boa Vista
20-07,29,0.0,0.8623188405797102,Boa Vista
10-08,30,0.0,0.6898550724637681,Boa Vista
18-08,31,0.5,0.7092753623188406,Boa Vista
24-08,32,0.5,0.5988405797101449,Boa Vista
01-09,33,0.0,0.4063768115942029,Boa Vista
07-09,34,0.0,0.32753623188405795,Boa Vista
15-09,35,0.0,0.32463768115942027,Boa Vista
21-09,36,0.0,0.2289855072463768,Boa Vista
29-06,26,0.0,0.5423728813559322,Ribeirão Pires
06-07,27,0.0,0.6864406779661016,Ribeirão Pires
13-07,28,0.0,0.3898305084745763,Ribeirão Pires
20-07,29,1.0,1.0,Ribeirão Pires
10-08,30,0.0,0.4915254237288136,Ribeirão Pires
18-08,31,0.0,0.5932203389830508,Ribeirão Pires
24-08,32,0.0,0.3898305084745763,Ribeirão Pires
01-09,33,0.0,0.652542372881356,Ribeirão Pires
07-09,34,0.0,0.7542372881355932,Ribeirão Pires
15-09,35,0.0,0.6271186440677966,Ribeirão Pires
21-09,36,0.0,0.3474576271186441,Ribeirão Pires
29-06,26,0.0,0.4513888888888889,Jandira
06-07,27,0.0,0.4027777777777778,Jandira
13-07,28,0.0,0.3402777777777778,Jandira
20-07,29,0.0,0.8263888888888888,Jandira
10-08,30,1.0,1.0,Jandira
18-08,31,0.0,0.8194444444444444,Jandira
24-08,32,0.0,0.6736111111111112,Jandira
01-09,33,0.0,0.5416666666666666,Jandira
07-09,34,0.0,0.4305555555555556,Jandira
15-09,35,0.0,0.5347222222222222,Jandira
21-09,36,0.0,0.3263888888888889,Jandira
29-06,26,0.0,0.4266666666666667,Paulista
06-07,27,1.0,0.6088888888888889,Paulista
13-07,28,1.0,0.6533333333333333,Paulista
20-07,29,1.0,0.7466666666666667,Paulista
10-08,30,1.0,0.8266666666666667,Paulista
18-08,31,0.0,0.6888888888888889,Paulista
24-08,32,0.0,0.5777777777777777,Paulista
01-09,33,0.0,0.4177777777777778,Paulista
07-09,34,0.0,0.5822222222222222,Paulista
15-09,35,1.0,1.0,Paulista
21-09,36,0.0,0.3422222222222222,Paulista
29-06,26,0.0,0.7441860465116279,Iguatu
06-07,27,1.0,0.7180232558139535,Iguatu
13-07,28,0.0,0.34593023255813954,Iguatu
20-07,29,1.0,0.9186046511627907,Iguatu
10-08,30,0.0,0.7412790697674418,Iguatu
18-08,31,0.0,0.34593023255813954,Iguatu
24-08,32,0.0,0.44476744186046513,Iguatu
01-09,33,0.0,0.26744186046511625,Iguatu
07-09,34,0.0,0.4331395348837209,Iguatu
15-09,35,0.0,0.5465116279069767,Iguatu
21-09,36,0.0,0.37790697674418605,Iguatu
