name,geom,key,value
IBIO / CCET,"POLYGON ((-43.1687862 -22.9547498, -43.1688995 -22.9550951, -43.1689764 -22.9550737, -43.1690153 -22.9551923, -43.1689447 -22.955212, -43.168964 -22.9552708, -43.1687733 -22.9553239, -43.1686891 -22.9553473, -43.1686011 -22.955079, -43.1685176 -22.9548246, -43.1686135 -22.9547979, -43.1687862 -22.9547498))",amenity,university
UFRJ - Campus Praia Vermelha,"POLYGON ((-43.1761554 -22.9564751, -43.1762126 -22.9565186, -43.1762725 -22.9565186, -43.1768579 -22.9561673, -43.1764716 -22.9555903, -43.1766704 -22.9554877, -43.17739 -22.9551161, -43.1773986 -22.954879, -43.1773385 -22.9546498, -43.175167 -22.9516149, -43.1750039 -22.9515042, -43.1747636 -22.9515991, -43.174181 -22.9519765, -43.1734734 -22.9524481, -43.1733169 -22.9525478, -43.1737836 -22.9531973, -43.1736392 -22.9532883, -43.1737483 -22.9534698, -43.1741005 -22.9539687, -43.1742763 -22.953857, -43.1761554 -22.9564751))",amenity,university
CCH - Padre José de Anchieta,"POLYGON ((-43.1693961 -22.9546275, -43.1688893 -22.9547817, -43.1689314 -22.9548988, -43.1694381 -22.9547446, -43.1693961 -22.9546275))",amenity,university
CCH,"POLYGON ((-43.1689975 -22.9550409, -43.1690472 -22.9551825, -43.1690655 -22.9552524, -43.1695059 -22.9551325, -43.169438 -22.954921, -43.1692206 -22.9549802, -43.1689975 -22.9550409))",amenity,university
UNIRIO - Campus V,"POLYGON ((-43.1683041 -22.9543456, -43.1686962 -22.955561, -43.1694504 -22.9554051, -43.1707625 -22.9553537, -43.1710992 -22.9553871, -43.1713722 -22.955494, -43.1710471 -22.9545826, -43.1702621 -22.9548071, -43.1698863 -22.9549146, -43.1697194 -22.9544601, -43.1694161 -22.9545574, -43.1692291 -22.954063, -43.1684333 -22.9543102, -43.1683041 -22.9543456))",amenity,university
CLA,"POLYGON ((-43.1708372 -22.9546777, -43.1703754 -22.954816, -43.170466 -22.9550725, -43.1709279 -22.9549341, -43.1708372 -22.9546777))",amenity,university
Instituto Villa-Lobos,"POLYGON ((-43.1709161 -22.9546799, -43.1710595 -22.9546354, -43.1711312 -22.9548314, -43.1710752 -22.9548487, -43.1710943 -22.954901, -43.1711552 -22.9548821, -43.1712286 -22.9550826, -43.171079 -22.955129, -43.1710078 -22.9549344, -43.1710626 -22.9549174, -43.1710416 -22.95486, -43.1709881 -22.9548766, -43.1709161 -22.9546799))",amenity,university
CLA,"POLYGON ((-43.1709903 -22.9549417, -43.1710523 -22.9551036, -43.1709193 -22.9551468, -43.1709079 -22.955117, -43.17079 -22.9551553, -43.1707594 -22.9550752, -43.1706368 -22.955115, -43.1706169 -22.9550629, -43.1709903 -22.9549417))",amenity,university
Faculdade Politécnica,"POLYGON ((-48.2703565 -18.9463387, -48.2689197 -18.9472638, -48.2693262 -18.9478315, -48.2692281 -18.9479015, -48.2695645 -18.9483431, -48.2700481 -18.9480487, -48.269957 -18.9479226, -48.2710082 -18.9472287, -48.2703565 -18.9463387))",amenity,university
Escola de Design - UEMG,"POLYGON ((-43.9606321 -19.8567079, -43.9609372 -19.8568079, -43.960837 -19.8570784, -43.9605319 -19.8569785, -43.9606321 -19.8567079))",amenity,university
Universidade Estácio de Sá - Barra I Tom Jobim,"POLYGON ((-43.3526567 -22.9968497, -43.3526707 -22.9971827, -43.3525725 -22.9972955, -43.3521943 -22.9973053, -43.3521007 -22.9971994, -43.3520991 -22.9968634, -43.3521846 -22.9967566, -43.3525644 -22.996751, -43.3526567 -22.9968497))",amenity,university
Faculdade de Educação,"POLYGON ((-46.7171342 -23.5627013, -46.7156116 -23.5634514, -46.7151607 -23.5626823, -46.7144668 -23.5630242, -46.7143311 -23.5627927, -46.7165476 -23.5617007, -46.7171342 -23.5627013))",amenity,university
Faculdade de Odontologia,"POLYGON ((-46.7370796 -23.5678278, -46.7373974 -23.5681812, -46.7375402 -23.5685109, -46.7377417 -23.5688396, -46.7384165 -23.5684797, -46.738635 -23.5684866, -46.7387779 -23.5685354, -46.7389787 -23.5684769, -46.7399701 -23.5680933, -46.7401105 -23.5679243, -46.740174 -23.5676625, -46.7400788 -23.5673911, -46.7390004 -23.5657661, -46.7383614 -23.5666734, -46.7380003 -23.5670227, -46.737646 -23.5672941, -46.7376248 -23.5674541, -46.7370796 -23.5678278))",amenity,university
UNIRIO - Campus IV,"POLYGON ((-43.1732576 -22.9525485, -43.1732216 -22.9525688, -43.172883 -22.9527832, -43.1732219 -22.9534614, -43.1733188 -22.9536526, -43.1736724 -22.9534573, -43.1735677 -22.9532855, -43.1737163 -22.9531907, -43.1732576 -22.9525485))",amenity,university
Universidade Federal de Alagoas,"POLYGON ((-35.7821754 -9.5558786, -35.781426 -9.5573879, -35.7807046 -9.558722899999999, -35.778539 -9.557613999999999, -35.7775402 -9.559525900000001, -35.77198 -9.5566621, -35.7676187 -9.5544285, -35.7647675 -9.5529397, -35.7679652 -9.5466301, -35.7708535 -9.5480559, -35.7769315 -9.551181700000001, -35.7830646 -9.554310600000001, -35.7821754 -9.5558786))",amenity,university
