latitude,longitude,06-07,13-07,16-06,20-07,22-06,29-06
-20.307888333333334,-40.29750672333333,0,0,0,0,0,0
-9.624355430000001,-35.73693244,0,0,0,0,0,0
-9.620591894999999,-35.737233825,0,0,0,0,0,0
-9.6577192,-35.73146706666666,0,0,0,0,0,0
-7.127230628571428,-34.87564364285714,0,0,0,0,0,1
-22.91608652,-43.22093118,0,1,0,0,0,0
-22.915817642857142,-43.21516920714286,0,1,0,0,0,0
-22.920281766666665,-43.21175558333334,0,1,0,0,0,0
-22.912817605263154,-43.203992394736844,0,0,0,0,0,0
-22.9007281,-43.27812154000001,0,0,0,0,0,0
-22.9112294,-43.29090476666667,0,0,0,0,0,0
-22.914164236,-43.283807616,0,0,0,0,0,0
-25.10425086153846,-50.16519179230771,0,0,0,0,0,0
-13.003195384615385,-38.524787653846154,0,0,0,0,0,0
-25.452457324999997,-49.26021958333334,0,0,0,0,0,0
-25.539893399999997,-49.19645553333334,0,0,0,0,0,0
-23.484461616666668,-46.72764058333333,0,0,1,0,0,0
-23.486794838888887,-46.72390016666667,0,0,0,0,0,0
-10.913755876923078,-37.09075736538462,0,0,0,0,1,0
-2.542138266666667,-44.21753972222222,0,0,1,0,0,0
-2.54162114,-44.21554002,0,0,1,0,0,0
-2.5381633999999997,-44.2055472,0,0,1,0,0,0
-2.5223741513513507,-44.24504357837837,0,0,0,0,0,1
-15.80080150909091,-47.889197145454546,0,0,1,0,0,0
-15.823989000000003,-47.89740115000001,0,0,0,1,0,1
-12.881359828571428,-38.31459778571429,0,0,0,0,0,0
-22.010945188888886,-47.89016791111111,1,0,0,0,0,0
-29.775974193333333,-51.14861187333333,0,0,0,0,0,0
-29.77803101666667,-51.14833965,0,0,0,0,0,0
-29.7763179,-51.14756814,0,0,0,0,0,0
-20.34438945,-40.296699312499996,0,0,0,0,0,0
-19.921052822222222,-43.9178981,0,0,0,0,0,0
-10.950173060000001,-37.06504094,0,0,0,0,0,1
-10.9293429,-37.0627802142857,0,0,0,0,0,0
-19.926667771428566,-43.95775847142857,0,0,0,1,0,0
-5.856996500000001,-35.2120446,0,0,0,0,0,0
-19.92271684,-43.9260869,0,0,0,0,0,0
-29.88634991,-51.165992870000004,0,0,0,0,0,0
-29.886426083333333,-51.165601900000006,0,0,0,0,0,0
-22.958851599999996,-43.17769772,0,0,0,0,0,0
-29.557978875,-51.592648987500006,0,0,0,0,0,0
-15.79227062,-47.94227624,1,0,0,0,0,0
-5.791182833333334,-35.19925155,0,0,0,0,0,0
-10.924364120000002,-37.05216626,0,0,0,0,0,0
-4.32107942,-40.708651380000006,0,0,0,0,0,0
-15.81480401111111,-47.91458605555556,0,0,1,0,1,0
-19.94853590434783,-43.91700293913044,0,0,0,0,0,0
-22.0089315875,-47.90058801666667,1,0,0,0,0,0
-22.011211967441863,-47.90127235116279,1,0,0,0,0,0
-20.644999009523808,-40.47615388571428,0,0,0,0,0,0
-19.958998654545454,-43.91296234545455,0,0,0,0,0,0
-22.86533316,-43.3744881,0,0,0,0,0,0
-28.848381475,-51.885565549999995,0,0,0,0,0,0
-15.24934252857143,-40.25419924285713,0,0,0,0,0,0
-29.472093852941175,-51.81205704705882,0,0,0,0,0,0
-12.259428272727273,-38.96491318181819,0,0,0,0,0,0
-23.336298684848487,-46.724319733333346,0,0,0,0,0,0
-29.678172583333335,-51.11554923333333,0,0,0,0,0,0
-29.6751325,-51.13228683,0,0,0,0,0,0
-15.25406808,-40.234246080000005,0,0,0,0,0,0
-26.28965835714286,-48.84590992857143,0,0,0,0,0,0
-12.864888188235295,-38.456863258823525,0,0,0,0,0,0
-21.75843528,-41.334233620000006,0,0,0,0,0,0
-21.76143991111111,-41.33193475555555,0,0,0,0,0,0
-23.68153422,-46.676711389999994,0,0,0,0,0,0
-14.204880220000002,-41.66729766,1,0,1,0,0,0
-23.5906122375,-46.67308065,0,0,0,0,1,0
-21.77098272333334,-43.34607956666667,0,0,0,0,0,1
-21.780902884615383,-43.364670515384624,0,0,0,1,0,0
-21.777810047826087,-43.35931386521739,0,0,0,1,0,1
-22.894744033333335,-43.115457625,0,0,0,0,0,0
-22.89552093,-43.112051230000006,0,0,0,0,0,0
-22.977467457142858,-43.22410948571428,0,0,0,0,0,0
-21.74671727368421,-43.369203310526316,0,0,0,0,0,0
-20.53793726,-47.39387591999999,0,0,0,0,0,0
-23.65020415,-46.704884462500004,0,0,0,0,0,1
-23.644414217647057,-46.6272566,0,0,0,0,0,0
-23.605485557142856,-46.67582345714285,0,0,0,0,0,0
-23.597009710000002,-46.65187976,0,0,0,0,1,0
-23.59563455,-46.65216975,0,0,0,0,1,0
-23.595489128571426,-46.65377814285714,0,0,0,0,1,0
-23.596624277777774,-46.65425818888888,0,0,0,0,1,0
-23.613305671428574,-46.65630892857143,0,0,0,0,0,1
-30.03105255263158,-51.22170044736842,1,1,0,0,0,0
-30.038808233333334,-51.20644493333334,0,0,0,0,0,0
-25.443914566666663,-49.276343527777776,0,0,0,0,0,0
-25.44331247777778,-49.27343287777778,0,0,0,0,0,0
-15.823720792307693,-47.89716529230769,0,0,0,1,0,1
-13.00758058,-41.36888704,0,0,0,0,0,0
-22.99497575454545,-43.36460173636364,0,0,0,0,0,1
-22.99493131666667,-43.36220753333333,0,0,0,0,0,1
-25.424208137500003,-49.26192011875,0,1,0,0,0,0
-22.2268669,-49.93574457307693,0,0,0,0,0,0
-5.7975226769230765,-35.22617525384616,1,0,0,0,0,0
-21.78242262,-46.59204280000001,0,0,0,0,0,0
-21.79231994,-46.56078424,0,0,0,0,0,0
-3.685984016666666,-40.336900799999995,0,0,0,0,0,0
-23.45302338076923,-51.92400142307693,0,0,0,0,0,0
-30.0183794,-51.19323281666667,0,0,0,0,0,1
-10.922332877777778,-37.05817540000001,0,0,0,0,0,0
-10.91784564,-37.05925966,0,0,0,0,0,0
-10.91392793,-37.09167301,0,0,0,0,1,0
-10.92282874,-37.04681892000001,0,0,0,0,0,0
-10.922913311111111,-37.04612386666666,0,0,0,0,0,0
-27.57779965238095,-48.53414789523809,0,0,0,0,0,0
-27.576048392857142,-48.535448935714285,0,0,0,0,0,0
-22.35626399310345,-41.8072274137931,0,0,0,0,0,0
-26.923665970000002,-49.065871550000004,0,0,0,0,0,0
-26.927168966666667,-49.055147588888886,0,0,0,0,0,0
-27.345017318181817,-51.61219014545454,0,0,0,0,0,0
-20.663483239999998,-40.500184600000004,0,0,0,0,0,0
-10.92280312,-37.0509584,0,0,0,0,0,0
-25.4351231,-49.280015255555554,0,0,0,0,0,0
-20.851430673684213,-41.11330316842105,0,0,0,0,0,0
-20.851481782352938,-41.11437956470588,0,0,0,0,0,0
-20.843615642857145,-41.11324462857143,0,0,0,0,0,0
-21.461684614285712,-45.224064757142855,0,0,0,0,0,0
-21.85763937777778,-45.292544666666664,0,0,0,0,0,0
-15.826913335294117,-47.930498047058826,0,0,0,0,1,1
-15.826428066666669,-47.92978237777777,0,0,0,0,1,1
-15.82772122857143,-47.92959460000001,0,0,0,0,1,1
-15.828445754545454,-47.92992081818182,0,0,0,0,1,1
-15.800227280000001,-47.890395319999996,0,0,1,0,0,0
-6.06229156,-49.909017219999996,0,0,0,0,0,0
-6.08134236,-49.89609662,0,0,0,0,0,0
-15.824062744444445,-47.92737001111111,0,0,0,0,1,1
-15.834563220000001,-47.91187046,0,0,0,0,0,0
-15.822737219999999,-47.89558572,0,0,0,1,0,1
-15.8166575,-47.88889606,0,0,0,1,0,0
-15.820295983333333,-47.926542000000005,0,0,0,0,1,1
-15.813276733333332,-47.91244115555556,0,0,1,0,0,0
