latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-23.336298684848487,-46.724319733333346,12,14,10,8,14,15
-29.678172583333335,-51.11554923333333,4,9,7,10,8,14
-29.6751325,-51.13228683,4,3,3,6,4,5
-15.25406808,-40.234246080000005,1,2,3,4,1,0
-26.28965835714286,-48.84590992857143,15,10,15,11,15,15
-12.864888188235295,-38.456863258823525,2,2,2,2,0,0
-21.75843528,-41.334233620000006,15,11,6,15,4,13
-21.76143991111111,-41.33193475555555,15,11,6,15,4,13
-23.68153422,-46.676711389999994,15,12,13,10,6,10
-14.204880220000002,-41.66729766,15,15,15,15,10,7
-23.5906122375,-46.67308065,2,12,3,12,15,7
-21.77098272333334,-43.34607956666667,7,8,12,9,3,9
-21.780902884615383,-43.364670515384624,13,9,13,9,10,15
-21.777810047826087,-43.35931386521739,9,8,12,8,5,9
-22.894744033333335,-43.115457625,10,12,15,13,1,13
-22.89552093,-43.112051230000006,11,12,15,13,1,15
-22.977467457142858,-43.22410948571428,14,10,9,11,8,7
-21.74671727368421,-43.369203310526316,11,4,4,9,12,10
-20.53793726,-47.39387591999999,15,8,15,15,2,15
-23.65020415,-46.704884462500004,12,5,15,9,10,13
-23.644414217647057,-46.6272566,3,7,7,5,3,11
-23.605485557142856,-46.67582345714285,14,11,12,4,4,13
-23.597009710000002,-46.65187976,4,15,7,4,9,8
-23.59563455,-46.65216975,5,15,8,12,15,9
-23.595489128571426,-46.65377814285714,4,15,8,12,15,8
-23.596624277777774,-46.65425818888888,3,15,8,5,9,8
-23.613305671428574,-46.65630892857143,13,13,15,1,7,15
-30.03105255263158,-51.22170044736842,15,7,12,11,14,11
-30.038808233333334,-51.20644493333334,13,8,7,6,13,15
-25.443914566666663,-49.276343527777776,12,12,10,9,15,14
-25.44331247777778,-49.27343287777778,15,15,15,13,15,15
-15.823720792307693,-47.89716529230769,15,13,11,12,13,14
-13.00758058,-41.36888704,0,0,1,1,0,1
-22.99497575454545,-43.36460173636364,10,8,15,9,12,11
-22.99493131666667,-43.36220753333333,10,7,15,9,12,11
-25.424208137500003,-49.26192011875,7,15,15,15,15,13
-22.2268669,-49.93574457307693,15,8,11,9,15,15
-5.7975226769230765,-35.22617525384616,15,13,15,13,15,15
-21.78242262,-46.59204280000001,0,0,0,1,5,5
-21.79231994,-46.56078424,15,15,15,15,2,15
-3.685984016666666,-40.336900799999995,15,15,13,15,15,15
-23.45302338076923,-51.92400142307693,3,2,4,5,5,8
-30.0183794,-51.19323281666667,13,8,11,7,6,11
-10.922332877777778,-37.05817540000001,13,13,13,13,13,12
-10.91784564,-37.05925966,13,13,13,13,13,13
-10.91392793,-37.09167301,11,15,13,13,15,15
-10.92282874,-37.04681892000001,13,13,13,13,13,12
-10.922913311111111,-37.04612386666666,13,13,13,13,13,12
-27.57779965238095,-48.53414789523809,11,14,2,12,13,9
-27.576048392857142,-48.535448935714285,10,12,4,11,11,6
-22.35626399310345,-41.8072274137931,4,3,1,1,1,0
-23.54167382,-46.926791959999996,10,15,15,10,9,15
-7.0344114529411765,-37.2899619882353,12,15,15,13,9,13
-7.027053976470588,-37.27476998823529,15,15,13,15,15,15
-7.0151282,-37.28076476666667,15,15,13,15,15,15
-7.01728615882353,-37.283024005882346,15,15,13,15,15,15
-27.11033826,-52.626753840000006,13,15,13,8,4,7
-21.906573364285713,-47.61624553571429,3,3,3,3,0,3
-25.40743005337838,-49.21711266689189,9,7,10,3,12,9
-19.8924827,-43.9909089,13,15,8,12,10,8
-5.8158554577777775,-35.228894097777776,15,11,15,15,15,15
-22.12899022,-51.37250894,13,15,13,11,15,15
-19.8684423,-43.9877092,12,13,13,2,15,15
-20.018359800000002,-44.067900120000004,13,15,12,10,14,15
-5.183698,-37.35129202,15,15,15,15,15,15
-15.581414927272728,-56.07861430606061,12,12,15,15,10,15
-22.894492335714286,-43.11265282857143,10,12,15,13,1,14
-6.7597048200000005,-38.228973120000006,15,15,15,15,15,15
-6.7627787800000005,-38.23067798,15,15,15,15,15,15
-9.414079033333334,-40.51077617619048,9,13,13,11,15,13
-9.41152042,-40.511867679999995,9,13,13,11,15,13
-9.41169306,-40.50349095999999,9,13,13,11,15,14
-9.41143529090909,-40.504661081818185,9,13,13,11,15,14
-22.44158222,-46.97448552,3,1,1,0,0,0
-9.41062968,-40.5079248,5,9,8,8,15,12
-6.843865171428571,-38.31320557142857,0,2,5,2,1,1
-19.49648665384615,-42.53854702307693,9,9,4,5,2,9
-6.885117599999999,-38.55448084,13,11,11,5,14,15
-7.116394921428571,-34.842893849999996,13,11,15,12,11,6
-23.567128969230772,-46.64150482307692,7,6,4,8,8,4
-22.72924404,-47.62165992,1,2,0,1,3,1
-20.774110959999998,-45.270488320000005,0,0,0,1,1,0
-23.50950199090909,-47.45828156363637,15,15,15,15,15,15
-8.886654340000002,-36.48233816,15,15,15,13,13,15
-8.8856651,-36.48039218,15,15,15,12,13,15
-8.8837095,-36.483059759999996,15,15,15,12,12,15
-8.897478809999999,-36.49566247,12,4,10,15,15,13
-27.609821370588236,-48.630752447058825,15,15,13,15,15,15
-21.20891708695652,-50.427844191304345,13,15,15,15,15,15
-21.229794815384615,-50.416138107692305,6,2,6,7,5,5
-23.713078918181818,-46.547157109090904,11,7,11,15,13,15
-5.528596607142857,-47.48705354285715,15,15,12,12,11,15
-5.52060628,-47.49111866,1,2,3,4,4,8
-6.46971896,-37.11108878,1,2,5,3,6,5
-6.466671119999999,-37.0946831,13,15,15,15,15,15
-21.77439314,-52.1118508,15,15,7,11,15,15
